component_id,lot_id,value_0h_uA,value_24h_uA,value_96h_uA,value_168h_uA,static_limit_uA
C0154,L10,11.513,11.85,12.995,14.077,50
C0155,L10,11.908,12.159,12.859,13.554,50
C0156,L10,12.048,12.317,13.2,14.237,50
C0157,L10,12.354,12.623,13.253,13.805,50
C0158,L10,12.2,12.557,13.624,14.75,50
C0159,L10,11.865,12.1,12.933,13.683,50
C0160,L10,12.448,12.873,13.879,14.908,50
C0161,L10,12.356,12.571,13.294,14.125,50
C0162,L10,11.786,12.211,13.385,14.442,50
C0163,L10,12.487,12.731,13.22,13.643,50
C0164,L10,12.343,12.572,12.979,13.394,50
C0165,L10,12.374,12.687,13.874,14.945,50
C0166,L10,12.077,12.253,12.937,13.699,50
C0167,L10,11.969,12.361,13.558,14.674,50
C0168,L11,8.728,9.087,10.073,11.021,50
C0169,L11,9.167,9.355,9.932,10.421,50
C0170,L11,9.479,9.772,10.913,11.944,50
C0171,L11,9.096,9.28,9.83,10.439,50
C0172,L11,8.85,9.069,9.581,10.006,50
C0173,L11,9.741,9.914,10.4,10.874,50
C0174,L11,8.657,9.055,10.102,11.027,50
C0175,L11,9.176,9.416,10.125,10.787,50
C0176,L11,8.946,9.248,10.266,11.302,50
C0177,L11,8.931,9.223,10.166,10.958,50
C0178,L11,9.82,10.088,11.007,11.959,50
C0179,L11,9.54,9.711,10.178,10.746,50
C0180,L11,8.99,9.341,10.319,11.36,50
C0181,L11,9.391,9.731,10.683,11.687,50
C0182,L11,9.4,9.783,10.827,11.895,50
C0183,L11,9.342,9.6,10.518,11.539,50
C0184,L11,8.857,9.038,9.66,10.195,50
C0185,L11,9.742,10.049,11.144,12.169,50
C0186,L12,11.283,11.616,12.542,13.616,50
C0187,L12,10.51,10.842,11.741,12.746,50
C0188,L12,10.908,11.058,11.507,11.91,50
C0189,L12,10.681,10.969,11.917,12.923,50
C0190,L12,10.685,10.986,11.928,12.957,50
C0191,L12,10.633,10.945,11.843,12.706,50
C0192,L12,11.08,11.323,12.131,12.915,50
C0193,L12,11.434,11.566,12.089,12.577,50
C0194,L12,10.684,11.085,12.209,13.346,50
C0195,L12,11.111,11.491,12.627,13.725,50
C0196,L12,11.366,11.605,12.182,12.802,50
C0197,L12,10.522,10.825,11.492,12.286,50
C0198,L12,11.013,11.138,11.707,12.295,50
C0199,L12,11.228,11.351,11.877,12.492,50
C0200,L12,10.3,10.597,11.327,11.925,50
C0201,L12,11.235,11.525,12.418,13.183,50
C0202,L12,11.168,11.516,12.471,13.592,50
C0203,L12,11.424,11.742,12.485,13.398,50
C0204,L12,10.397,10.67,11.378,11.947,50
C0205,L13,7.882,8.189,8.995,9.876,50
C0206,L13,7.608,7.779,8.378,8.775,50
C0207,L13,7.932,8.287,9.335,10.507,50
C0208,L13,7.065,7.309,8.123,8.898,50
C0209,L13,8.084,8.183,8.689,9.066,50
C0210,L13,7.322,7.625,8.478,9.49,50
C0211,L13,7.629,7.898,8.576,9.385,50
C0212,L13,8.016,8.356,9.301,10.13,50
C0213,L13,7.534,7.709,8.296,8.871,50
C0214,L13,7.106,7.377,8.092,8.744,50
C0215,L13,8.1,8.31,8.709,9.088,50
C0216,L13,7.879,8.226,9.26,10.292,50
C0217,L13,7.388,7.539,8.092,8.675,50
C0218,L13,8.034,8.421,9.392,10.307,50
C0219,L13,7.686,7.904,8.434,8.922,50
C0220,L14,10.61,10.78,11.398,12.046,50
C0221,L14,11.393,11.713,12.604,13.51,50
C0222,L14,11.262,11.501,12.387,13.384,50
C0223,L14,11.578,11.759,12.372,13.096,50
C0224,L14,10.556,10.948,11.832,12.805,50
C0225,L14,10.924,11.125,11.846,12.561,50
C0226,L14,11.602,11.947,12.739,13.664,50
C0227,L14,10.532,10.687,11.163,11.68,50
C0228,L14,10.969,11.167,11.723,12.213,50
C0229,L14,11.286,11.576,12.397,13.186,50
C0230,L14,11.654,11.766,12.327,12.865,50
C0231,L14,11.389,11.546,12.186,12.809,50
C0232,L14,10.627,10.859,11.686,12.543,50
C0233,L14,10.897,11.173,11.878,12.586,50
C0234,L14,10.566,10.774,11.412,12.105,50
C0235,L14,10.82,11.131,11.789,12.624,50
COMP-FC-03,L04,21.4,25.2,31.7,38.9,50
COMP-PWR-01,L02,12.0,12.6,13.9,15.2,50
COMP-COM-02,L08,9.5,9.9,10.6,11.3,50
